Date,Time,Latitude,Longitude,Speed,Altitude,ir,luminosity,pm1s,pm25s,pm10s,pm1e,pm25e,pm10e,a03um01Lair,a05um01Lair,a1um01Lair,a25um01Lair,a5um01Lair,a10um01Lair,Co2,Temp,Hum,uv,ROH,NH4
15/6/2021,07:19:02 PM,14.5800,121.0423,0,93,1067,200.3389,0,25,0,0,0,0,0,0,0,0,0,0,578.13,22.5,85.6,0.010,0,0
15/6/2021,07:19:02 PM,14.5800,121.0423,0,93,1074,202.1224,0,25,0,0,0,0,0,0,0,0,0,0,593.75,22.6,85.6,0.020,0,0
15/6/2021,07:19:13 PM,14.5800,121.0423,0,93,1074,199.7331,0,23,0,0,0,0,0,0,0,0,0,0,625,22.6,85.6,0.020,0,0
15/6/2021,07:19:08 PM,14.5800,121.0423,0,93,1078,202.0101,0,23,0,0,0,0,0,0,0,0,0,0,578.13,22.6,85.5,0.030,0,0
15/6/2021,07:19:08 PM,14.5800,121.0423,0,93,1079,201.8277,0,28,0,0,0,0,0,0,0,0,0,0,609.38,22.7,85.5,0.010,0,0
15/6/2021,07:19:08 PM,14.5800,121.0423,0,93,1056,198.7751,0,24,0,0,0,0,0,0,0,0,0,0,593.75,22.7,85.4,0.020,0,0
15/6/2021,07:19:08 PM,14.5800,121.0423,0,93,1055,198.8502,0,23,0,0,0,0,0,0,0,0,0,0,593.75,22.8,85.4,0.020,0,0
15/6/2021,07:19:08 PM,14.5800,121.0423,0,93,1059,200.0534,0,17,0,0,0,0,0,0,0,0,0,0,593.75,22.8,85.3,0.020,0,0
15/6/2021,07:19:08 PM,14.5800,121.0423,0,93,1073,202.7613,0,17,0,0,0,0,0,0,0,0,0,0,609.38,22.8,85.2,0.020,0,0
15/6/2021,07:19:08 PM,14.5800,121.0423,0,93,1025,193.7456,0,17,0,0,0,0,0,0,0,0,0,0,853.13,22.9,85.2,0.020,0,0
15/6/2021,07:19:31 PM,14.5800,121.0423,0,84.1,1037,198.0002,0,17,0,0,0,0,0,0,0,0,0,0,853.13,22.9,85.1,0.020,0,0
15/6/2021,07:19:31 PM,14.5800,121.0423,0,84.1,992,184.3827,0,17,0,0,0,0,0,0,0,0,0,0,853.13,23,85.1,0.020,0,0
15/6/2021,07:19:31 PM,14.5800,121.0423,0,84.1,671,125.8385,0,16,0,0,0,0,0,0,0,0,0,0,853.13,23,85.1,0.020,0,0
15/6/2021,07:19:31 PM,14.5800,121.0423,0,84.1,270,52.8151,0,17,0,0,0,0,0,0,0,0,0,0,837.5,23,84.9,0.020,0,0
15/6/2021,07:19:42 PM,14.5800,121.0423,0,84.1,124,26.1622,0,14,0,0,0,0,0,0,0,0,0,0,853.13,23.1,84.9,0.010,0,0
15/6/2021,07:19:42 PM,14.5800,121.0423,0,84.1,171,34.876,0,15,0,0,0,0,0,0,0,0,0,0,837.5,23.1,84.8,0.020,0,0
15/6/2021,07:19:48 PM,14.5800,121.0423,0,84.1,172,34.8543,0,15,0,0,0,0,0,0,0,0,0,0,837.5,23.2,84.9,0.020,0,0
15/6/2021,07:19:48 PM,14.5800,121.0423,0,84.1,81,17.9267,0,15,0,0,0,0,0,0,0,0,0,0,837.5,23.2,84.7,0.020,0,0
15/6/2021,07:19:59 PM,14.5800,121.0423,0,84.1,190,38.0939,0,14,0,0,0,0,0,0,0,0,0,0,853.13,23.2,84.8,0.020,0,0
15/6/2021,07:20:02 PM,14.5800,121.0423,0,84.1,189,38.0887,0,14,0,0,0,0,0,0,0,0,0,0,946.88,23.3,84.8,0.020,0,0
15/6/2021,07:20:05 PM,14.5800,121.0423,0,84.1,344,71.2954,0,15,0,0,0,0,0,0,0,0,0,0,837.5,23.3,84.6,0.020,0,0
15/6/2021,07:20:08 PM,14.5800,121.0423,0,84.1,53,12.4852,0,14,0,0,0,0,0,0,0,0,0,0,853.13,23.3,84.6,0.010,0,0
15/6/2021,07:20:11 PM,14.5800,121.0423,0,84.1,54,12.6247,0,14,0,0,0,0,0,0,0,0,0,0,825,23.4,84.4,0.010,0,0
15/6/2021,07:20:13 PM,14.5800,121.0423,0,84.1,305,59.8267,0,14,0,0,0,0,0,0,0,0,0,0,853.13,23.4,84.4,0.020,0,0
15/6/2021,07:20:16 PM,14.5800,121.0423,0,84.1,213,42.0319,0,14,0,0,0,0,0,0,0,0,0,0,853.13,23.4,84.4,0.020,0,0
15/6/2021,07:20:19 PM,14.5800,121.0423,0,83.7,980,188.1569,0,14,0,0,0,0,0,0,0,0,0,0,853.13,23.5,84.2,0.020,0,0
15/6/2021,07:20:22 PM,14.5800,121.0423,0,83.7,1032,196.4154,0,16,0,0,0,0,0,0,0,0,0,0,962.5,23.5,84.3,0.020,0,0
15/6/2021,07:20:25 PM,14.5800,121.0423,0,83.7,922,178.3084,0,19,0,0,0,0,0,0,0,0,0,0,837.5,23.5,84.3,0.020,0,0
15/6/2021,07:20:28 PM,14.5800,121.0423,0,83.7,975,187.3241,0,15,0,0,0,0,0,0,0,0,0,0,853.13,23.6,84.2,0.020,0,0
15/6/2021,07:20:31 PM,14.5800,121.0423,0,83.7,1003,192.1222,0,15,0,0,0,0,0,0,0,0,0,0,853.13,23.6,84.1,0.020,0,0
15/6/2021,07:20:33 PM,14.5800,121.0423,0,83.7,1011,193.4547,0,15,0,0,0,0,0,0,0,0,0,0,837.5,23.6,84,0.020,0,0
15/6/2021,07:20:36 PM,14.5800,121.0423,0,83.7,842,164.4466,0,14,0,0,0,0,0,0,0,0,0,0,853.13,23.7,84.1,0.020,0,0
15/6/2021,07:20:39 PM,14.5800,121.0423,0,83.6,821,161.0565,0,12,0,0,0,0,0,0,0,0,0,0,853.13,23.7,84,0.020,0,0
15/6/2021,07:20:42 PM,14.5800,121.0423,0,83.6,1002,191.7944,0,15,0,0,0,0,0,0,0,0,0,0,962.5,23.7,83.9,0.010,0,0
15/6/2021,07:20:45 PM,14.5800,121.0423,0,83.5,1141,215.3232,0,15,0,0,0,0,0,0,0,0,0,0,853.13,23.7,83.8,0.020,0,0
15/6/2021,07:20:48 PM,14.5800,121.0423,0,83.5,411,71.6874,0,12,0,0,0,0,0,0,0,0,0,0,837.5,23.8,83.8,0.020,0,0
15/6/2021,07:20:51 PM,14.5800,121.0423,0,83.5,255,42.0011,0,12,0,0,0,0,0,0,0,0,0,0,837.5,23.7,83.8,0.010,0,0
15/6/2021,07:20:54 PM,14.5800,121.0423,0,83.5,279,48.6782,0,12,0,0,0,0,0,0,0,0,0,0,793.75,23.8,83.8,0.010,0,0
15/6/2021,07:20:56 PM,14.5800,121.0423,0,83.5,403,71.2393,0,11,0,0,0,0,0,0,0,0,0,0,793.75,23.8,83.7,0.020,0,0
15/6/2021,07:20:59 PM,14.5800,121.0423,0,83.5,434,77.4763,0,15,0,0,0,0,0,0,0,0,0,0,793.75,23.9,83.7,0.020,0,0
15/6/2021,07:21:02 PM,14.5800,121.0423,0,83.5,407,73.5148,0,19,0,0,0,0,0,0,0,0,0,0,915.63,23.9,83.7,0.010,0,0
15/6/2021,07:21:05 PM,14.5800,121.0423,0,83.5,181,31.8962,0,22,0,0,0,0,0,0,0,0,0,0,809.38,23.9,83.5,0.010,0,0
15/6/2021,07:21:08 PM,14.5800,121.0423,0,83.5,558,90.982,0,17,0,0,0,0,0,0,0,0,0,0,809.38,24,83.5,0.020,0,0
15/6/2021,07:21:11 PM,14.5800,121.0423,0,83.8,515,79.3526,0,16,0,0,0,0,0,0,0,0,0,0,793.75,24,83.5,0.020,0,0
15/6/2021,07:21:14 PM,14.5800,121.0423,0,83.9,574,89.2882,0,16,0,0,0,0,0,0,0,0,0,0,778.13,24,83.4,0.010,0,0
15/6/2021,07:21:17 PM,14.5800,121.0423,0,83.9,300,49.9532,0,15,0,0,0,0,0,0,0,0,0,0,762.5,24,83.4,0.030,0,0
15/6/2021,07:21:19 PM,14.5800,121.0423,0,83.9,503,93.5319,0,17,0,0,0,0,0,0,0,0,0,0,778.13,24,83.2,0.020,0,0
15/6/2021,07:21:22 PM,14.5800,121.0423,0,83.9,686,127.4244,0,18,0,0,0,0,0,0,0,0,0,0,900,24,83.2,0.010,0,0
15/6/2021,07:21:25 PM,14.5800,121.0423,0,83.9,233,39.407,0,19,0,0,0,0,0,0,0,0,0,0,778.13,24.1,83.1,0.020,0,0
15/6/2021,07:21:28 PM,14.5800,121.0423,0,83.9,315,57.5987,0,15,0,0,0,0,0,0,0,0,0,0,793.75,24.1,83,0.020,0,0
15/6/2021,07:21:31 PM,14.5800,121.0423,0,83.9,346,62.9238,0,16,0,0,0,0,0,0,0,0,0,0,778.13,24.2,83,0.020,0,0
15/6/2021,07:21:34 PM,14.5800,121.0423,0,83.9,202,34.7246,0,14,0,0,0,0,0,0,0,0,0,0,793.75,24.2,82.9,0.010,0,0
15/6/2021,07:21:37 PM,14.5800,121.0423,0,83.9,786,146.82,0,13,0,0,0,0,0,0,0,0,0,0,778.13,24.2,82.8,0.020,0,0
15/6/2021,07:21:40 PM,14.5800,121.0423,0,83.9,827,155.7436,0,15,0,0,0,0,0,0,0,0,0,0,778.13,24.2,82.8,0.010,0,0
15/6/2021,07:21:43 PM,14.5800,121.0423,0,83.9,838,158.9453,0,16,0,0,0,0,0,0,0,0,0,0,915.63,24.2,82.7,0.020,0,0
15/6/2021,07:21:45 PM,14.5800,121.0423,0,83.9,838,159.0259,0,16,0,0,0,0,0,0,0,0,0,0,793.75,24.3,82.8,0.020,0,0
15/6/2021,07:21:48 PM,14.5800,121.0423,0,83.9,840,158.9831,0,14,0,0,0,0,0,0,0,0,0,0,793.75,24.3,82.7,0.020,0,0
15/6/2021,07:21:51 PM,14.5800,121.0423,0,83.9,192,33.5947,0,14,0,0,0,0,0,0,0,0,0,0,793.75,24.3,82.6,0.020,0,0
15/6/2021,07:21:54 PM,14.5800,121.0423,0,84.5,348,68.735,0,13,0,0,0,0,0,0,0,0,0,0,793.75,24.3,82.5,0.030,0,0
15/6/2021,07:21:57 PM,14.5800,121.0423,0,84.5,360,68.4502,0,13,0,0,0,0,0,0,0,0,0,0,778.13,24.4,82.5,0.020,0,0
15/6/2021,07:22:00 PM,14.5800,121.0423,0,84.5,246,44.2532,0,14,0,0,0,0,0,0,0,0,0,0,793.75,24.4,82.5,0.020,0,0
15/6/2021,07:22:02 PM,14.5800,121.0423,0,84.5,173,29.1699,0,14,0,0,0,0,0,0,0,0,0,0,793.75,24.4,82.5,0.020,0,0
15/6/2021,07:22:05 PM,14.5800,121.0423,0,84.5,293,56.6727,0,14,0,0,0,0,0,0,0,0,0,0,778.13,24.4,82.3,0.020,0,0
15/6/2021,07:22:08 PM,14.5800,121.0423,0,84.5,298,57.1026,0,15,0,0,0,0,0,0,0,0,0,0,884.38,24.4,82.3,0.020,0,0
15/6/2021,07:22:11 PM,14.5800,121.0423,0,84.8,215,41.8007,0,14,0,0,0,0,0,0,0,0,0,0,793.75,24.5,82.2,0.020,0,0
15/6/2021,07:22:14 PM,14.5800,121.0423,0,84.8,209,37.848,0,15,0,0,0,0,0,0,0,0,0,0,793.75,24.5,82.1,0.020,0,0
15/6/2021,07:22:16 PM,14.5800,121.0423,0,84.8,249,44.4043,0,14,0,0,0,0,0,0,0,0,0,0,793.75,24.5,82,0.020,0,0
15/6/2021,07:22:19 PM,14.5800,121.0423,0,84.8,261,49.6506,0,14,0,0,0,0,0,0,0,0,0,0,793.75,24.6,82.1,0.020,0,0
15/6/2021,07:22:22 PM,14.5800,121.0423,0,85,255,48.5706,0,14,0,0,0,0,0,0,0,0,0,0,778.13,24.5,82,0.020,0,0
15/6/2021,07:22:25 PM,14.5800,121.0423,0,85,208,39.5066,0,13,0,0,0,0,0,0,0,0,0,0,778.13,24.6,81.8,0.020,0,0
15/6/2021,07:22:28 PM,14.5800,121.0423,0,85,215,43.0638,0,11,0,0,0,0,0,0,0,0,0,0,778.13,24.6,81.8,0.020,0,0
15/6/2021,07:22:30 PM,14.5800,121.0423,0,85,451,86.2664,0,12,0,0,0,0,0,0,0,0,0,0,793.75,24.6,81.8,0.010,0,0
15/6/2021,07:22:33 PM,14.5800,121.0423,0,85,278,47.7612,0,14,0,0,0,0,0,0,0,0,0,0,793.75,24.6,81.7,0.020,0,0
15/6/2021,07:22:36 PM,14.5800,121.0423,0,85,228,42.5696,0,13,0,0,0,0,0,0,0,0,0,0,778.13,24.7,81.6,0.010,0,0
15/6/2021,07:22:39 PM,14.5800,121.0423,0,85,271,52.0414,0,13,0,0,0,0,0,0,0,0,0,0,793.75,24.7,81.6,0.020,0,0
15/6/2021,07:22:42 PM,14.5800,121.0423,0,85.1,308,62.907,0,13,0,0,0,0,0,0,0,0,0,0,793.75,24.7,81.5,0.020,0,0
15/6/2021,07:22:45 PM,14.5800,121.0423,0,85.1,127,37.0476,0,12,0,0,0,0,0,0,0,0,0,0,778.13,24.7,81.4,0.020,0,0
15/6/2021,07:22:48 PM,14.5800,121.0423,0,85.1,231,36.2105,0,12,0,0,0,0,0,0,0,0,0,0,778.13,24.7,81.4,0.020,0,0
15/6/2021,07:22:51 PM,14.5800,121.0423,0,85.1,318,68.9309,0,12,0,0,0,0,0,0,0,0,0,0,778.13,24.8,81.4,0.020,0,0
